action,details,game_time
mouse_click,"925,231",2.4
key_press,1,5.68
key_press,2,6.7
key_press,3,8.1
key_press,2,8.8
key_press,3,9.12
key_press,3,9.18
key_press,1,9.47
key_press,1,9.54
key_press,2,9.79
key_press,3,10.01
key_press,3,10.08
key_press,1,10.5
key_press,2,12.62
key_press,3,13.05
key_press,2,13.44
key_press,1,15.66
key_press,1,15.71
key_press,1,15.76
mouse_click,"137,138",19.81
mouse_click,"241,133",20.64
mouse_click,"121,201",21.65
mouse_click,"250,205",22.62
key_press,space,23.47
start_wave,1,23.47
key_press,space,35.17
key_press,space,35.74
key_press,space,35.95
key_press,space,36.13
key_press,space,36.37
key_press,tab,50.87
enemy_leaked,normal,55.47
key_press,tab,58.56
key_press,tab,59.6
key_press,tab,60.87
